_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
675ed9cf1df1c69f153581dd,,94.2,100,94.2,68.06,56;0;0;0,words,10,-1,73,7.13,0,136.23,false,false,english,none,master,false,false,false,,1734269391000
675ed8651df1c69f15357246,,94.25,100,94.25,84.47,45;0;0;0,words,10,-1,24,5.73,0,33.07,false,false,english,none,master,false,false,false,,1734269029000
675d87791df1c69f152a70e9,,100.86,100,100.86,67.94,52;0;0;0,words,10,-1,80,6.19,0,107.88,false,false,english,none,master,false,false,false,,1734182777000
675d867d1df1c69f152a66c1,,108.31,100,108.31,69.24,47;0;0;0,words,10,-1,27,5.21,0,39.42,false,false,english,none,master,false,false,false,,1734182525000
675d86111df1c69f152a624b,,107.56,100,107.56,81.36,52;0;0;0,words,10,-1,13,5.8,0,11.23,false,false,english,none,master,false,false,false,,1734182417000
675d85bd1df1c69f152a5eef,,113.27,100,113.27,64.37,49;0;0;0,words,10,-1,0,5.19,0,0,false,false,english,none,master,false,false,false,,1734182333000
675c19391df1c69f151b6b22,,88.87,100,88.87,66.11,50;0;0;0,words,10,-1,7,6.75,0,13.47,false,false,english,none,master,false,false,false,,1734089017000
675b081d1df1c69f150fe062,,109.01,100,109.01,88.89,50;0;0;0,words,10,-1,32,5.5,0,42.33,false,false,english,none,master,false,false,false,,1734019101000
675b07a81df1c69f150fd836,,100.58,100,100.58,83.67,50;0;0;0,words,10,-1,1,5.97,0,0.21,false,false,english,none,master,false,false,false,,1734018984000
675b077e1df1c69f150fd56e,,91.69,100,91.69,58.6,39;0;0;0,words,10,-1,33,5.1,0,66.87,false,false,english,none,master,false,false,false,,1734018942000
675b06eb1df1c69f150fcab0,,87.07,100,87.07,77.33,56;0;0;0,words,10,-1,3,7.72,0,1,false,false,english,none,master,false,false,false,,1734018795000
675aea2e1df1c69f150dddc4,,88.27,100,88.27,78.82,50;0;0;0,words,10,-1,7,6.8,0,9.9,false,false,english,none,master,false,false,false,,1734011438000
